question|context|answer|sql_generado
How many heads of the departments are older than 56 ?|CREATE TABLE head (age INTEGER)|SELECT COUNT(*) FROM head WHERE age > 56|SELECT COUNT(*) FROM head WHERE age > 56
List the name, born state and age of the heads of departments ordered by age.|CREATE TABLE head (name VARCHAR, born_state VARCHAR, age VARCHAR)|SELECT name, born_state, age FROM head ORDER BY age|SELECT name, born_state, age FROM head ORDER BY age
List the creation year, name and budget of each department.|CREATE TABLE department (creation VARCHAR, name VARCHAR, budget_in_billions VARCHAR)|SELECT creation, name, budget_in_billions FROM department|SELECT creation, name, budget_in_billions FROM department
What are the maximum and minimum budget of the departments?|CREATE TABLE department (budget_in_billions INTEGER)|SELECT MAX(budget_in_billions), MIN(budget_in_billions) FROM department|SELECT MAX(budget_in_billions), MIN(budget_in_billions) FROM department
What is the average number of employees of the departments whose rank is between 10 and 15?|CREATE TABLE department (num_employees INTEGER, ranking INTEGER)|SELECT AVG(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15|SELECT AVG(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15
What are the names of the heads who are born outside the California state?|CREATE TABLE head (name VARCHAR, born_state VARCHAR)|SELECT name FROM head WHERE born_state <> 'California'|SELECT name FROM head WHERE born_state <> 'California'
What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?|CREATE TABLE department (creation VARCHAR, department_id VARCHAR); CREATE TABLE management (department_id VARCHAR, head_id VARCHAR); CREATE TABLE head (head_id VARCHAR, born_state VARCHAR)|SELECT DISTINCT T1.creation FROM department AS T1 JOIN management AS T2 ON T1.department_id = T2.department_id JOIN head AS T3 ON T2.head_id = T3.head_id WHERE T3.born_state = 'Alabama'|SELECT DISTINCT T1.creation FROM department AS T1 JOIN management AS T2 ON T1.department_id = T2.department_id JOIN head AS T3 ON T2.head_id = T3.head_id WHERE T3.born_state = 'Alabama'
What are the names of the states where at least 3 heads were born?|CREATE TABLE head (born_state VARCHAR)|SELECT born_state FROM head GROUP BY born_state HAVING COUNT(*) >= 3|SELECT born_state FROM head GROUP BY born_state HAVING COUNT(*) >= 3
In which year were most departments established?|CREATE TABLE department (creation VARCHAR)|SELECT creation FROM department GROUP BY creation ORDER BY COUNT(*) DESC LIMIT 1|SELECT SUBSTR(creation, 1, 4), COUNT(*) FROM department GROUP BY SUBSTR(creation, 1, 4) ORDER BY COUNT(*) DESC LIMIT 1
Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?|CREATE TABLE management (department_id VARCHAR, temporary_acting VARCHAR); CREATE TABLE department (name VARCHAR, num_employees VARCHAR, department_id VARCHAR)|SELECT T1.name, T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id = T2.department_id WHERE T2.temporary_acting = 'Yes'|SELECT T2.name, T2.num_employees FROM management AS T1 JOIN department AS T2 ON T1.department_id = T2.department_id WHERE T1.temporary_acting = 'Yes'
How many acting statuses are there?|CREATE TABLE management (temporary_acting VARCHAR)|SELECT COUNT(DISTINCT temporary_acting) FROM management|SELECT COUNT(*) FROM management
How many departments are led by heads who are not mentioned?|CREATE TABLE management (department_id VARCHAR); CREATE TABLE department (department_id VARCHAR)|SELECT COUNT(*) FROM department WHERE NOT department_id IN (SELECT department_id FROM management)|SELECT COUNT(T1.department_id) FROM management AS T1 LEFT JOIN department AS T2 ON T1.department_id = T2.department_id WHERE T2.department_id IS NULL
What are the distinct ages of the heads who are acting?|CREATE TABLE head (age VARCHAR, head_id VARCHAR); CREATE TABLE management (head_id VARCHAR, temporary_acting VARCHAR)|SELECT DISTINCT T1.age FROM management AS T2 JOIN head AS T1 ON T1.head_id = T2.head_id WHERE T2.temporary_acting = 'Yes'|SELECT DISTINCT T1.age FROM head AS T1 JOIN management AS T2 ON T1.head_id = T2.head_id WHERE T2.temporary_acting = 'yes'
