question|context|answer|sql_generado
Show the shop addresses ordered by their opening year.|CREATE TABLE shop (address VARCHAR, open_year VARCHAR)|SELECT address FROM shop ORDER BY open_year|SELECT address FROM shop ORDER BY open_year
What are the average score and average staff number of all shops?|CREATE TABLE shop (num_of_staff INTEGER, score INTEGER)|SELECT AVG(num_of_staff), AVG(score) FROM shop|SELECT avg(score), avg(num_of_staff) FROM shop
Find the id and address of the shops whose score is below the average score.|CREATE TABLE shop (shop_id VARCHAR, address VARCHAR, score INTEGER)|SELECT shop_id, address FROM shop WHERE score < (SELECT AVG(score) FROM shop)|SELECT shop_id, address FROM shop WHERE score < (SELECT AVG(score) FROM shop)
Find the address and staff number of the shops that do not have any happy hour.|CREATE TABLE shop (address VARCHAR, num_of_staff VARCHAR, shop_id VARCHAR); CREATE TABLE happy_hour (address VARCHAR, num_of_staff VARCHAR, shop_id VARCHAR)|SELECT address, num_of_staff FROM shop WHERE NOT shop_id IN (SELECT shop_id FROM happy_hour)|SELECT address, num_of_staff FROM shop EXCEPT SELECT address, num_of_staff FROM happy_hour
What are the id and address of the shops which have a happy hour in May?|CREATE TABLE shop (address VARCHAR, shop_id VARCHAR); CREATE TABLE happy_hour (shop_id VARCHAR)|SELECT t1.address, t1.shop_id FROM shop AS t1 JOIN happy_hour AS t2 ON t1.shop_id = t2.shop_id WHERE MONTH = 'May'|SELECT s.shop_id, s.address FROM shop s JOIN happy_hour h ON s.shop_id = h.shop_id
which shop has happy hour most frequently? List its id and number of happy hours.|CREATE TABLE happy_hour (shop_id VARCHAR)|SELECT shop_id, COUNT(*) FROM happy_hour GROUP BY shop_id ORDER BY COUNT(*) DESC LIMIT 1|SELECT shop_id, COUNT(*) AS happy_hour_count FROM happy_hour GROUP BY shop_id ORDER BY happy_hour_count DESC LIMIT 1;
Which month has the most happy hours?|CREATE TABLE happy_hour (MONTH VARCHAR)|SELECT MONTH FROM happy_hour GROUP BY MONTH ORDER BY COUNT(*) DESC LIMIT 1|SELECT MONTH FROM happy_hour GROUP BY MONTH ORDER BY COUNT(*) DESC LIMIT 1
Which months have more than 2 happy hours?|CREATE TABLE happy_hour (MONTH VARCHAR)|SELECT MONTH FROM happy_hour GROUP BY MONTH HAVING COUNT(*) > 2|SELECT MONTH FROM happy_hour GROUP BY MONTH HAVING COUNT(*) > 2
How many albums are there?|CREATE TABLE ALBUM (Id VARCHAR)|SELECT COUNT(*) FROM ALBUM|SELECT count(*) FROM ALBUM
List the names of all music genres.|CREATE TABLE GENRE (Name VARCHAR)|SELECT Name FROM GENRE|SELECT Name FROM GENRE
Find all the customer information in state NY.|CREATE TABLE CUSTOMER (State VARCHAR)|"SELECT * FROM CUSTOMER WHERE State = ""NY"""|SELECT * FROM CUSTOMER WHERE State = 'NY';
What are the first names and last names of the employees who live in Calgary city.|CREATE TABLE EMPLOYEE (FirstName VARCHAR, LastName VARCHAR, City VARCHAR)|"SELECT FirstName, LastName FROM EMPLOYEE WHERE City = ""Calgary"""|SELECT FirstName, LastName FROM EMPLOYEE WHERE City = 'Calgary'
What are the distinct billing countries of the invoices?|CREATE TABLE INVOICE (BillingCountry VARCHAR)|SELECT DISTINCT (BillingCountry) FROM INVOICE|SELECT DISTINCT BillingCountry FROM INVOICE
"Find the names of all artists that have ""a"" in their names."|CREATE TABLE ARTIST (Name VARCHAR)|"SELECT Name FROM ARTIST WHERE Name LIKE ""%a%"""|SELECT Name FROM ARTIST WHERE Name LIKE '%a%';
"Find the title of all the albums of the artist ""AC/DC""."|CREATE TABLE ARTIST (ArtistId VARCHAR, Name VARCHAR); CREATE TABLE ALBUM (ArtistId VARCHAR)|"SELECT Title FROM ALBUM AS T1 JOIN ARTIST AS T2 ON T1.ArtistId = T2.ArtistId WHERE T2.Name = ""AC/DC"""|SELECT ALBUM.Title FROM ALBUM INNER JOIN ARTIST ON ALBUM.ArtistId = ARTIST.ArtistId WHERE ARTIST.Name = 'AC/DC';
"Hom many albums does the artist ""Metallica"" have?"|CREATE TABLE ARTIST (ArtistId VARCHAR, Name VARCHAR); CREATE TABLE ALBUM (ArtistId VARCHAR)|"SELECT COUNT(*) FROM ALBUM AS T1 JOIN ARTIST AS T2 ON T1.ArtistId = T2.ArtistId WHERE T2.Name = ""Metallica"""|"SELECT count(*) FROM ALBUM AS A JOIN ARTIST AS AR ON A.ArtistId = AR.ArtistId WHERE AR.Name = ""Metallica"";"
"Which artist does the album ""Balls to the Wall"" belong to?"|CREATE TABLE ALBUM (ArtistId VARCHAR, Title VARCHAR); CREATE TABLE ARTIST (Name VARCHAR, ArtistId VARCHAR)|"SELECT T2.Name FROM ALBUM AS T1 JOIN ARTIST AS T2 ON T1.ArtistId = T2.ArtistId WHERE T1.Title = ""Balls to the Wall"""|"SELECT T1.Name FROM ARTIST AS T1 JOIN ALBUM AS T2 ON T1.ArtistId  =  T2.ArtistId WHERE T2.Title  =  ""Balls to the Wall"""
